full_name,url,clone_url,commit_sha,status,klass,stars,license,language,detected_tools,component_count,total_tokens,always_loaded,findings_total,findings_file,findings_file_fs,findings_pairwise,findings_setup,scan_seconds
bergside/awesome-design-skills,https://github.com/bergside/awesome-design-skills,https://github.com/bergside/awesome-design-skills.git,f631a09b4fcc0166f2e2c1a8c81906ef680c57e8,ok,COLLECTION,2409,MIT,,,67,60842,0,336,267,0,66,3,65.17
Blazity/atlas,https://github.com/Blazity/atlas,https://github.com/Blazity/atlas.git,ec2ad19868fba022d5fb92a50d8b9a85e900dc20,ok,COLLECTION,23,MIT,JavaScript,Claude Code|Cursor|OpenCode,8,13675,477,15,12,2,0,1,14.43
cheng199896/SCI,https://github.com/cheng199896/SCI,https://github.com/cheng199896/SCI.git,75e27526de1e8473ed31a025cf4640caa93e2fad,ok,COLLECTION,0,MIT,Python,,9,25293,0,32,28,3,0,1,23.12
chuckplayer/claude-agent-pack,https://github.com/chuckplayer/claude-agent-pack,https://github.com/chuckplayer/claude-agent-pack.git,e0e737a701c202d732af4385b1faef35217ec4e0,ok,COLLECTION,6,MIT,JavaScript,Claude Code,31,93894,8557,77,66,3,4,4,32.9
CodeAlive-AI/ai-driven-development,https://github.com/CodeAlive-AI/ai-driven-development,https://github.com/CodeAlive-AI/ai-driven-development.git,14fe3af568bb87381633e52fd9bdc529ad2af04c,ok,COLLECTION,124,MIT,Python,Claude Code|OpenCode,26,60660,2864,95,75,18,0,2,47.38
dashaworks/report-skills,https://github.com/dashaworks/report-skills,https://github.com/dashaworks/report-skills.git,d18aca81aaab95d90230b15184cee8a81c5f7e12,ok,COLLECTION,12,MIT,,,5,3769,0,9,8,0,0,1,12.03
domengabrovsek/claude,https://github.com/domengabrovsek/claude,https://github.com/domengabrovsek/claude.git,181baaf8486d2697267e29332304df0690426d6d,ok,COLLECTION,15,,Shell,Claude Code,29,30623,2596,33,29,2,0,2,22.23
foru17/neko-master,https://github.com/foru17/neko-master,https://github.com/foru17/neko-master.git,6f72cfd0db69e2952713f24a648812407fef1e78,ok,COLLECTION,3302,MIT,TypeScript,Claude Code|Copilot|OpenCode,9,8219,3383,12,6,6,0,0,16.53
gabelul/stitch-kit,https://github.com/gabelul/stitch-kit,https://github.com/gabelul/stitch-kit.git,10e08082881370888bab06d8c9f54621bb81884d,ok,COLLECTION,41,Apache-2.0,JavaScript,OpenCode,37,76485,1696,109,81,25,0,3,36.84
globulario/sensei,https://github.com/globulario/sensei,https://github.com/globulario/sensei.git,134da064a7889ae96d83b51a5af78c12771ed2ae,ok,COLLECTION,1,AGPL-3.0,Go,Claude Code|Cursor|OpenCode,8,13198,2364,15,10,3,0,2,3.86
hassancs91/claude-faceless-shorts-creator,https://github.com/hassancs91/claude-faceless-shorts-creator,https://github.com/hassancs91/claude-faceless-shorts-creator.git,773054bebbe460de0f31dcfda5315970b1c8b4f2,ok,COLLECTION,134,MIT,TypeScript,Claude Code,6,11378,925,7,6,1,0,0,19.27
hssh8917/cc-skills,https://github.com/hssh8917/cc-skills,https://github.com/hssh8917/cc-skills.git,a573faff51eb649bfe8347e53cd862a2fe5ba15f,ok,COLLECTION,2,MIT,Shell,Claude Code,13,43127,9546,45,41,2,0,2,18.69
iamddatm/skills,https://github.com/iamddatm/skills,https://github.com/iamddatm/skills.git,bebbec480c8eba8cc2c0e02bfbe124827d0095d5,ok,COLLECTION,0,MIT,JavaScript,,6,19978,0,16,14,1,0,1,14.3
jcottam/agent-resources,https://github.com/jcottam/agent-resources,https://github.com/jcottam/agent-resources.git,2152ad14c00c9ce34a59e35d1b38ddeba504d2d2,ok,COLLECTION,50,MIT,Shell,Claude Code|OpenCode,11,19412,164,23,19,3,0,1,14.57
JimLiu/baoyu-skills,https://github.com/JimLiu/baoyu-skills,https://github.com/JimLiu/baoyu-skills.git,6b7a2e417500561a5ecdd0b168332f4142584617,ok,COLLECTION,25121,MIT,TypeScript,Claude Code,23,84664,1789,78,52,21,3,2,37.59
langbot-app/LangBot,https://github.com/langbot-app/LangBot,https://github.com/langbot-app/LangBot.git,7803d562546ab4d56d57ef61e2ebbb94f1a767d1,ok,COLLECTION,17471,Apache-2.0,Python,Claude Code|OpenCode,11,15662,1061,24,17,6,0,1,23.83
lloyd3126/chenchungnien-skills,https://github.com/lloyd3126/chenchungnien-skills,https://github.com/lloyd3126/chenchungnien-skills.git,0f22d5e4f8fc2eb15d3b8e42c01c0abfc54d847d,ok,COLLECTION,0,,Python,OpenCode,90,102631,200,231,216,12,0,3,95.89
Logiiiii/unity-agent-skills,https://github.com/Logiiiii/unity-agent-skills,https://github.com/Logiiiii/unity-agent-skills.git,2e2170b8881ae1f0bb31c609fad9a977c6176feb,ok,COLLECTION,3,MIT,,,8,18826,0,15,13,1,0,1,12.97
m3dcodie/eng-flow,https://github.com/m3dcodie/eng-flow,https://github.com/m3dcodie/eng-flow.git,0165c4196f6018a1d4f4430856c32dda5681a617,ok,COLLECTION,0,,Python,Claude Code,15,30954,562,42,34,6,0,2,15.52
mabrosim/aet-content-pack,https://github.com/mabrosim/aet-content-pack,https://github.com/mabrosim/aet-content-pack.git,7835408f0232f3cb12f985a5a7fdd031502960b0,ok,COLLECTION,0,MIT,,,9,11476,0,14,13,0,0,1,13.02
maldenbergsergey-png/testdocs-kit,https://github.com/maldenbergsergey-png/testdocs-kit,https://github.com/maldenbergsergey-png/testdocs-kit.git,582b3b96a6c3fac4ea0911aa4209306e5bdf5562,ok,COLLECTION,0,,JavaScript,OpenCode,11,14406,814,23,22,0,0,1,12.91
Marchelleintrinsical938/skills,https://github.com/Marchelleintrinsical938/skills,https://github.com/Marchelleintrinsical938/skills.git,10e8cabfaf2ce7122068d5483f8372ea216647ae,ok,COLLECTION,0,MIT,TypeScript,Claude Code,11,21051,3195,33,31,0,0,2,14.22
Maudeunfledged834/startup-founder-skills,https://github.com/Maudeunfledged834/startup-founder-skills,https://github.com/Maudeunfledged834/startup-founder-skills.git,8fd1c38dceac686e8e311097a0f5bc608b3e8528,ok,COLLECTION,4,MIT,,,50,98411,0,143,135,5,0,3,54.08
max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,https://github.com/max-sixty/worktrunk.git,2aab2ba1a278d1764a605798df7afd1fb4e38810,ok,COLLECTION,6529,NOASSERTION,Rust,Claude Code|OpenCode,14,66935,39999,23,21,2,0,0,19.92
MohamedAbdallah-14/unslop,https://github.com/MohamedAbdallah-14/unslop,https://github.com/MohamedAbdallah-14/unslop.git,5af59d9fcdbd0df7b1a0762be958f78c7805fc09,ok,COLLECTION,96,MIT,Python,Claude Code|Cursor|Windsurf|Cline|Copilot|Gemini CLI|OpenCode|Codex CLI,14,20288,5627,32,30,1,0,1,19.6
mr-kelly/skills,https://github.com/mr-kelly/skills,https://github.com/mr-kelly/skills.git,b3c2432f9d6dc4211049e88d436b670f75a003d6,ok,COLLECTION,5,MIT,JavaScript,Claude Code|OpenCode,72,219953,1773,246,216,18,9,3,117.15
poshan0126/dotclaude,https://github.com/poshan0126/dotclaude,https://github.com/poshan0126/dotclaude.git,e59380ad5e89fb27033c3fa9fc12d1d3d734bba1,ok,COLLECTION,852,MIT,Shell,Claude Code,14,14634,928,45,39,4,0,2,15.29
Pringapringla/opencode-config,https://github.com/Pringapringla/opencode-config,https://github.com/Pringapringla/opencode-config.git,50dfbc81fee497e773ee5d2d7562df0d1a27418b,ok,COLLECTION,5,,TypeScript,OpenCode,8,33500,11319,18,15,2,0,1,4.38
project820/be-my-butler,https://github.com/project820/be-my-butler,https://github.com/project820/be-my-butler.git,cd2b5e1e86ad3c037f2c202ca77625e1c3fac3a3,ok,COLLECTION,3,MIT,Shell,OpenCode,6,8213,233,17,13,3,0,1,11.44
prvthmpcypher/skills-personal,https://github.com/prvthmpcypher/skills-personal,https://github.com/prvthmpcypher/skills-personal.git,404561f05096c320287caa218ea46e8a132c2a08,ok,COLLECTION,1,MIT,,,10,8671,0,25,24,0,0,1,12.89
RKiding/Awesome-finance-skills,https://github.com/RKiding/Awesome-finance-skills,https://github.com/RKiding/Awesome-finance-skills.git,853f09b4d0baae747759ed31e21ed5c5b2316a5f,ok,COLLECTION,2783,Apache-2.0,Python,,10,7848,0,17,14,2,0,1,17.14
robinebers/openusage,https://github.com/robinebers/openusage,https://github.com/robinebers/openusage.git,e89d2e8842bd0b9355647adb213bf5f1ade39dd6,ok,COLLECTION,3812,MIT,Swift,Claude Code|Cursor|OpenCode|Codex CLI,30,34593,1940,85,71,2,11,1,25.93
RoninForge/roninforge-vue-nuxt,https://github.com/RoninForge/roninforge-vue-nuxt,https://github.com/RoninForge/roninforge-vue-nuxt.git,aa0f5ae279c9cf89c75355fd028b74a1df17b5de,ok,COLLECTION,0,MIT,Shell,,5,11713,0,20,16,3,0,1,12.26
shobcoder/shob,https://github.com/shobcoder/shob,https://github.com/shobcoder/shob.git,9784b90f5caf57440ab20ae265bfcf1e873017bd,ok,COLLECTION,583,MIT,TypeScript,OpenCode,12,24779,3558,34,29,4,0,1,19.9
sichenai/sichen-skills,https://github.com/sichenai/sichen-skills,https://github.com/sichenai/sichen-skills.git,371f1ce72146f66d4f90f89d3c69e1f9ecff2a62,ok,COLLECTION,0,MIT,,,6,6307,0,14,11,2,0,1,12.46
sivaprasadreddy/sivalabs-agent-skills,https://github.com/sivaprasadreddy/sivalabs-agent-skills,https://github.com/sivaprasadreddy/sivalabs-agent-skills.git,44ec2904028766c626ccc515531fd83abbb51fda,ok,COLLECTION,169,MIT,Python,OpenCode,6,7713,392,14,13,0,0,1,11.8
SKIFIN-IT-SERVICES/tapwright,https://github.com/SKIFIN-IT-SERVICES/tapwright,https://github.com/SKIFIN-IT-SERVICES/tapwright.git,1dfbf26e35271a1cbd8cd0f657c91a107b597654,ok,COLLECTION,0,Apache-2.0,Python,Claude Code|OpenCode,6,6537,1612,3,2,0,0,1,12.6
souliane/teatree,https://github.com/souliane/teatree,https://github.com/souliane/teatree.git,26c4e7affb97271b1aed70f7f02770f7cb73d703,ok,COLLECTION,1,MIT,Python,Claude Code|OpenCode,46,257463,33686,151,116,16,15,4,84.34
stella/ai-shared,https://github.com/stella/ai-shared,https://github.com/stella/ai-shared.git,4e015ce8f4d387781af1d1dcdda11a86bde5ecca,ok,COLLECTION,0,,Shell,,8,10177,0,22,20,1,0,1,11.86
surajssd/dotfiles,https://github.com/surajssd/dotfiles,https://github.com/surajssd/dotfiles.git,22fdc49eb8af3635afcc1e329a3f33e479ac187f,ok,COLLECTION,5,MIT,Shell,Claude Code,10,28125,2691,25,18,5,1,1,15.65
TAKEOFF69/codex-skills-kit,https://github.com/TAKEOFF69/codex-skills-kit,https://github.com/TAKEOFF69/codex-skills-kit.git,51645ad29d63fbbb301e42d8497c4fe80e09bac9,ok,COLLECTION,5,MIT,Python,OpenCode,7,15997,835,18,15,2,0,1,13.44
TashanGKD/tashan-cursor-skills,https://github.com/TashanGKD/tashan-cursor-skills,https://github.com/TashanGKD/tashan-cursor-skills.git,b9e85e817b207ecb1675cd5736e452cb73dfbbe2,ok,COLLECTION,18,MIT,Shell,,85,156839,0,252,183,66,0,3,115.55
tessahnidkova-crypto/Claude,https://github.com/tessahnidkova-crypto/Claude,https://github.com/tessahnidkova-crypto/Claude.git,bdd8bb35f2a91dfea4d0db694b976b6921701006,ok,COLLECTION,0,,HTML,Claude Code,12,13123,5939,21,16,5,0,0,20.8
Texarkanine/ai-rizz,https://github.com/Texarkanine/ai-rizz,https://github.com/Texarkanine/ai-rizz.git,844719f2eb85e8b2e6e7fa2585f244ddb5c87257,ok,COLLECTION,0,,Shell,Cursor,34,37872,5981,53,42,10,0,1,17.61
thananon/9arm-skills,https://github.com/thananon/9arm-skills,https://github.com/thananon/9arm-skills.git,a1fc303b274ed06c32d405ba5a6db00ded6e5663,ok,COLLECTION,3119,,Shell,Claude Code,7,11702,199,22,19,2,0,1,11.32
tony-adamson/groundwork,https://github.com/tony-adamson/groundwork,https://github.com/tony-adamson/groundwork.git,40b3f6b9c807a0e9dbd9852d84da1e9aa6a436c9,ok,COLLECTION,3,NOASSERTION,JavaScript,,6,8092,2481,15,13,1,0,1,11.62
tuan3w/obsidian-vault-agent,https://github.com/tuan3w/obsidian-vault-agent,https://github.com/tuan3w/obsidian-vault-agent.git,a0069c0c640c2a53b5c17f3cb46e5d04da485511,ok,COLLECTION,37,MIT,Python,,14,35754,3179,55,37,16,0,2,18.29
VonTerraProject501c3/slushpile,https://github.com/VonTerraProject501c3/slushpile,https://github.com/VonTerraProject501c3/slushpile.git,c4c9b6f739f8b71f03404a61647dea6cebfb025d,ok,COLLECTION,14,MIT,Python,Claude Code|Cursor|Gemini CLI|OpenCode,17,68680,19201,44,32,2,8,2,17.66
vstorm-co/content-skills,https://github.com/vstorm-co/content-skills,https://github.com/vstorm-co/content-skills.git,5138a11b1e3407ea3352d4010cbe33233bdeb01c,ok,COLLECTION,19,MIT,Python,Claude Code,15,27972,870,47,32,14,0,1,17.46
worldwonderer/video-recap-skills,https://github.com/worldwonderer/video-recap-skills,https://github.com/worldwonderer/video-recap-skills.git,dc5902041be151ba598ce03ca2d49437f47ff77c,ok,COLLECTION,461,MIT,Python,,6,5412,0,20,8,11,0,1,18.76
Xoxxloma/sdd-skills,https://github.com/Xoxxloma/sdd-skills,https://github.com/Xoxxloma/sdd-skills.git,784728aa288aea2f2532d02b28dd503ac5e21d5c,ok,COLLECTION,0,,JavaScript,,6,8538,142,24,17,5,0,2,20.5
yan5xu/codexloom,https://github.com/yan5xu/codexloom,https://github.com/yan5xu/codexloom.git,cc5b0dec22313d8fc1519ff47b5ab779baf06296,ok,COLLECTION,367,NOASSERTION,Go,OpenCode,11,15772,1122,22,21,0,0,1,18.91
yanhua1010/self-media-content-workflow,https://github.com/yanhua1010/self-media-content-workflow,https://github.com/yanhua1010/self-media-content-workflow.git,71448957b491a2882e5a23727f8aee081851bc0e,ok,COLLECTION,375,MIT,Python,OpenCode,10,3856,271,20,18,1,0,1,11.56
Yuan1z0825/nature-skills,https://github.com/Yuan1z0825/nature-skills,https://github.com/Yuan1z0825/nature-skills.git,44defbcce0b8534f9a0a4734f56c40e4f703bbf4,ok,COLLECTION,35812,Apache-2.0,Python,,20,34892,0,81,61,18,0,2,43.81
zeikar/hyperclaude,https://github.com/zeikar/hyperclaude,https://github.com/zeikar/hyperclaude.git,8633c3f3d98494c0e353b14f07476f02204a3ab6,ok,COLLECTION,3,MIT,JavaScript,Claude Code,20,49657,4775,51,46,3,1,1,3.19
adrianohenriqueuna-pixel/printkk-agent-skill,https://github.com/adrianohenriqueuna-pixel/printkk-agent-skill,https://github.com/adrianohenriqueuna-pixel/printkk-agent-skill.git,fd4d35997b07f8de76f11b7bac35df4fbb09c3b9,ok,EMPTY,0,MIT,,,0,0,0,0,0,0,0,0,12.27
AkoliteZA/hermes-agent-idea-workflow,https://github.com/AkoliteZA/hermes-agent-idea-workflow,https://github.com/AkoliteZA/hermes-agent-idea-workflow.git,acf82c9a169050c06ed33b9514ac1e17b6ccb68c,ok,EMPTY,260,MIT,,,0,0,0,0,0,0,0,0,8.91
aktsmm/vscode-agent-resources-ninja,https://github.com/aktsmm/vscode-agent-resources-ninja,https://github.com/aktsmm/vscode-agent-resources-ninja.git,4c32aaf1096a1e0bb0a075b2cbba4ce3afab9bb5,ok,EMPTY,2,NOASSERTION,TypeScript,,0,0,0,0,0,0,0,0,12.75
albendos/handoff-md,https://github.com/albendos/handoff-md,https://github.com/albendos/handoff-md.git,544c50da1aead6a9a723dcd2c6bbd4ab6ec07c6a,ok,EMPTY,0,,,,0,0,0,0,0,0,0,0,10.5
anpon0426/claude-code-tab-sounds,https://github.com/anpon0426/claude-code-tab-sounds,https://github.com/anpon0426/claude-code-tab-sounds.git,551a40ab58ae4a96c6b29d50659a8870b852b466,ok,EMPTY,0,,,,0,0,0,0,0,0,0,0,10.91
apnatvar/web-development-and-online-marketing-skills,https://github.com/apnatvar/web-development-and-online-marketing-skills,https://github.com/apnatvar/web-development-and-online-marketing-skills.git,17661fd05b0b676fc960dd9fa1e9e4430e6007f0,ok,EMPTY,0,,JavaScript,,0,0,0,0,0,0,0,0,11.45
bawadou/claude-engineer,https://github.com/bawadou/claude-engineer,https://github.com/bawadou/claude-engineer.git,5da07c8505bc2bd9ac08ca3931ead4beca78edf7,ok,EMPTY,952,,Python,,0,0,0,0,0,0,0,0,11.03
biancoenrico/claude-skills,https://github.com/biancoenrico/claude-skills,https://github.com/biancoenrico/claude-skills.git,c39011e8f06d751125783a6b2cce80f6a7735674,ok,EMPTY,0,,,,0,0,0,0,0,0,0,0,10.7
burnabyjudicial666/agent-profiles,https://github.com/burnabyjudicial666/agent-profiles,https://github.com/burnabyjudicial666/agent-profiles.git,069621c48f29dcfbec578fd4ca8bc7bbaedab166,ok,EMPTY,0,MIT,Rust,,0,0,0,0,0,0,0,0,11.68
christanbased926/agentic-graph-rag,https://github.com/christanbased926/agentic-graph-rag,https://github.com/christanbased926/agentic-graph-rag.git,96252d29a12f85bcf7a113694a47bdc054e2387d,ok,EMPTY,2,Apache-2.0,Cypher,,0,0,0,0,0,0,0,0,12.26
claude-code-chinese/claude-code-guide,https://github.com/claude-code-chinese/claude-code-guide,https://github.com/claude-code-chinese/claude-code-guide.git,da6a5581e1bbf3b5f00bcc6082311c2e4867baf8,ok,EMPTY,648,,,,0,0,0,0,0,0,0,0,10.19
didvc/claude-email-leak-notice,https://github.com/didvc/claude-email-leak-notice,https://github.com/didvc/claude-email-leak-notice.git,877521d89a5be0f0ab770de323f2489924574a43,ok,EMPTY,1,MIT,Shell,,0,0,0,0,0,0,0,0,10.09
dinho-afsn/agentic-harness-patterns-skill,https://github.com/dinho-afsn/agentic-harness-patterns-skill,https://github.com/dinho-afsn/agentic-harness-patterns-skill.git,c1e293f97564bd7561f52a40da29e2720a50ea95,ok,EMPTY,1,,,,0,0,0,0,0,0,0,0,9.67
Dreambear-cloud/ai-peer-review,https://github.com/Dreambear-cloud/ai-peer-review,https://github.com/Dreambear-cloud/ai-peer-review.git,0db60316a4e187338a681953f11b9e3cee5b295f,ok,EMPTY,0,NOASSERTION,TypeScript,,0,0,0,0,0,0,0,0,10.07
easychen/openMode,https://github.com/easychen/openMode,https://github.com/easychen/openMode.git,a70101bacb832a56e4b26c13adc41cc7ffa5717b,ok,EMPTY,168,MIT,Dart,,0,0,0,0,0,0,0,0,10.6
elyshafresh21/claude-context-lint,https://github.com/elyshafresh21/claude-context-lint,https://github.com/elyshafresh21/claude-context-lint.git,beb8a0aacefcb87c2797b6717fcd862a539d8b23,ok,EMPTY,1,,,,0,0,0,0,0,0,0,0,11.0
endorphin-ai/hasbrains-agent-kit,https://github.com/endorphin-ai/hasbrains-agent-kit,https://github.com/endorphin-ai/hasbrains-agent-kit.git,01d2fc9b7e874506bb95dc58a93729e8b5eb431b,ok,EMPTY,4,MIT,Shell,,0,0,0,0,0,0,0,0,11.25
evolsb/claude-legal-skill,https://github.com/evolsb/claude-legal-skill,https://github.com/evolsb/claude-legal-skill.git,bca0d2e9d5ec81298ddfbfde78fa4f38fb4589b0,ok,EMPTY,413,MIT,,,0,0,0,0,0,0,0,0,10.06
faizdafa26/axon,https://github.com/faizdafa26/axon,https://github.com/faizdafa26/axon.git,b7fc50209f236dac37e687af0f7b76963cb4a2a0,ok,EMPTY,0,,,,0,0,0,0,0,0,0,0,11.57
georgezouq/awesome-ai-in-finance,https://github.com/georgezouq/awesome-ai-in-finance,https://github.com/georgezouq/awesome-ai-in-finance.git,27ef1faa8ea062af45ae2cdcbd2f50f4c358f110,ok,EMPTY,6410,CC0-1.0,,,0,0,0,0,0,0,0,0,11.34
goSprinto/compliance-skills,https://github.com/goSprinto/compliance-skills,https://github.com/goSprinto/compliance-skills.git,0594a9efdb0cca6031724e87bf843b70e8813ac6,ok,EMPTY,130,MIT,,,0,0,0,0,0,0,0,0,11.08
Gracker/awesome-android-ai-dev-sources,https://github.com/Gracker/awesome-android-ai-dev-sources,https://github.com/Gracker/awesome-android-ai-dev-sources.git,5e78afac97756a5aa72370f389677fb7dbad0c89,ok,EMPTY,1890,,Python,,0,0,0,0,0,0,0,0,10.27
gtsvaig-gambit/claude-didyouknow,https://github.com/gtsvaig-gambit/claude-didyouknow,https://github.com/gtsvaig-gambit/claude-didyouknow.git,1a1387e6295f48618bce70032e2b6edc84557e40,ok,EMPTY,1,MIT,JavaScript,,0,0,0,0,0,0,0,0,10.25
Hannah96Z/claude-skills,https://github.com/Hannah96Z/claude-skills,https://github.com/Hannah96Z/claude-skills.git,17e3cc527ca19bddca9e1544c9e47a57e5c08197,ok,EMPTY,0,MIT,Python,,0,0,0,0,0,0,0,0,10.9
houseofprayerzinzendorf150/LLM-Agent-Factory,https://github.com/houseofprayerzinzendorf150/LLM-Agent-Factory,https://github.com/houseofprayerzinzendorf150/LLM-Agent-Factory.git,f411359265a3a8e449e82c36566cded44301532d,ok,EMPTY,0,MIT,Python,,0,0,0,0,0,0,0,0,7.84
hrayrzh/claude-toolkit,https://github.com/hrayrzh/claude-toolkit,https://github.com/hrayrzh/claude-toolkit.git,bef56f7b879023248a94393e94776d9d8d275a5a,ok,EMPTY,0,MIT,Python,,0,0,0,0,0,0,0,0,9.27
jarenrey4035/SKF.ProductAssistant,https://github.com/jarenrey4035/SKF.ProductAssistant,https://github.com/jarenrey4035/SKF.ProductAssistant.git,79b9f3330149eef845a470924cf79617413825d8,ok,EMPTY,0,,,,0,0,0,0,0,0,0,0,10.4
jennettemesoamerican289/video-montage,https://github.com/jennettemesoamerican289/video-montage,https://github.com/jennettemesoamerican289/video-montage.git,80cb2f7e74cb8c09da0c19e1be3600b4914aad1b,ok,EMPTY,0,GPL-3.0,TypeScript,,0,0,0,0,0,0,0,0,11.1
Jlosev/cursor-rules,https://github.com/Jlosev/cursor-rules,https://github.com/Jlosev/cursor-rules.git,20c2ef193a825c87922723135b35253d780e3795,ok,EMPTY,0,MIT,,,0,0,0,0,0,0,0,0,10.92
joeyycli/agent-ops-kit-guide,https://github.com/joeyycli/agent-ops-kit-guide,https://github.com/joeyycli/agent-ops-kit-guide.git,7b0e7d0786c68d0f7a9477e554dc00019d99cbf6,ok,EMPTY,1,MIT,Python,,0,0,0,0,0,0,0,0,11.28
Jssu8541/ouro-loop,https://github.com/Jssu8541/ouro-loop,https://github.com/Jssu8541/ouro-loop.git,50670f9d01f7375f68b59af9dab4c8df6e90a4c3,ok,EMPTY,0,,,,0,0,0,0,0,0,0,0,12.71
kkdo11/claude-code-kit,https://github.com/kkdo11/claude-code-kit,https://github.com/kkdo11/claude-code-kit.git,02e9e9ce403cfddcad158889aaaf7838fdf3d845,ok,EMPTY,0,MIT,Shell,,0,0,0,0,0,0,0,0,10.9
langgptai/awesome-claude-prompts,https://github.com/langgptai/awesome-claude-prompts,https://github.com/langgptai/awesome-claude-prompts.git,9cba12be814bcfa579e5d66ce42273763e58fc13,ok,EMPTY,5416,,,,0,0,0,0,0,0,0,0,10.36
LicsDaSheng/GTD-OKR,https://github.com/LicsDaSheng/GTD-OKR,https://github.com/LicsDaSheng/GTD-OKR.git,beb73291e0b2e3eb6b562112d81387c4def80462,ok,EMPTY,2,MIT,Shell,,0,0,0,0,0,0,0,0,10.09
lodetomasi/agents-claude-code,https://github.com/lodetomasi/agents-claude-code,https://github.com/lodetomasi/agents-claude-code.git,7914b81cc1e0bb1bc79bf77ad216dc99d6ac7ee1,ok,EMPTY,157,MIT,,,0,0,0,0,0,0,0,0,10.4
LuluaneS/astrean-worker-lanes,https://github.com/LuluaneS/astrean-worker-lanes,https://github.com/LuluaneS/astrean-worker-lanes.git,d4755a4e61138713c58b94a4752a7b7e8938d98a,ok,EMPTY,8,NOASSERTION,,,0,0,0,0,0,0,0,0,11.17
ma-nucho-pro/supervisor-skill-claude,https://github.com/ma-nucho-pro/supervisor-skill-claude,https://github.com/ma-nucho-pro/supervisor-skill-claude.git,307b94cd4f8e2846ac6e0bd1c6058011073560ed,ok,EMPTY,1,,,,0,0,0,0,0,0,0,0,9.79
Malygos1016/CCWinNotifier,https://github.com/Malygos1016/CCWinNotifier,https://github.com/Malygos1016/CCWinNotifier.git,da5a3a235e0916ddf2b89186dac33f8cbf3e8ced,ok,EMPTY,0,MIT,PowerShell,,0,0,0,0,0,0,0,0,8.43
marcellotibial471/development-skills,https://github.com/marcellotibial471/development-skills,https://github.com/marcellotibial471/development-skills.git,43ce464893739d4d6e90126bd21aaaf4b0cb37bb,ok,EMPTY,2,MIT,,,0,0,0,0,0,0,0,0,10.85
markdown-viewer/skills,https://github.com/markdown-viewer/skills,https://github.com/markdown-viewer/skills.git,a3afd455b3ad37c0e71c05fa9407c4ec377226e3,ok,EMPTY,3134,,,,0,0,0,0,0,0,0,0,10.76
